date,count,start,end,type
"20160218T000000",64,2044,2107,3
"20151120T000000",5,209,213,3
"20170815T000000",252,82537,82788,3
"20170610T000000",206,64953,65158,3
"20170511T000000",258,58239,58496,3
"20171031T000000",523,106674,107196,3
"20160304T000000",65,2779,2843,3
"20160317T000000",8,3483,3490,3
"20160207T000000",21,1704,1724,3
"20171026T000000",193,105006,105198,3
"20160419T000000",82,5257,5338,3
"20170412T000000",279,52458,52736,3
"20170904T000000",221,88169,88389,3
"20151210T000000",7,380,386,3
"20151127T000000",5,251,255,3
"20170606T000000",292,63889,64180,3
"20170917T000000",472,92147,92618,3
"20161024T000000",182,23467,23648,3
"20161108T000000",84,25577,25660,3
"20170130T000000",215,38425,38639,3
"20160528T000000",67,7882,7948,3
"20170122T000000",164,37006,37169,3
"20171217T000000",120,122207,122326,3
"20151111T000000",7,116,122,3
"20170320T000000",182,47855,48036,3
"20150924T000000",3,43,45,3
"20160530T000000",59,8025,8083,3
"20170803T000000",149,79354,79502,3
"20160627T000000",51,10312,10362,3
"20160415T000000",55,5004,5058,3
"20170416T000000",163,53404,53566,3
"20160910T000000",191,17587,17777,3
"20160801T000000",149,13402,13550,3
"20151028T000000",1,56,56,3
"20171126T000000",330,115095,115424,3
"20161003T000000",96,20765,20860,3
"20170303T000000",126,44331,44456,3
"20170916T000000",240,91907,92146,3
"20170506T000000",228,57149,57376,3
"20160329T000000",54,3977,4030,3
"20161102T000000",51,24816,24866,3
"20160616T000000",107,9323,9429,3
"20170807T000000",152,80484,80635,3
"20160130T000000",26,1441,1466,3
"20171124T000000",214,114416,114629,3
"20160211T000000",37,1812,1848,3
"20160716T000000",56,11925,11980,3
"20160725T000000",64,12670,12733,3
"20151209T000000",23,357,379,3
"20151125T000000",6,241,246,3
"20170326T000000",188,49018,49205,3
"20170520T000000",143,60042,60184,3
"20151217T000000",18,440,457,3
"20170301T000000",173,43829,44001,3
"20170514T000000",156,58854,59009,3
"20160708T000000",59,11197,11255,3
"20160222T000000",82,2215,2296,3
"20160325T000000",46,3789,3834,3
"20160529T000000",76,7949,8024,3
"20160814T000000",122,14755,14876,3
"20170102T000000",58,33819,33876,3
"20161014T000000",133,21986,22118,3
"20161114T000000",129,26430,26558,3
"20151126T000000",4,247,250,3
"20160223T000000",35,2297,2331,3
"20151201T000000",3,277,279,3
"20160202T000000",21,1531,1551,3
"20151228T000000",16,596,611,3
"20170112T000000",33,35519,35551,3
"20170927T000000",257,95377,95633,3
"20171227T000000",523,125931,126453,3
"20170618T000000",120,67183,67302,3
"20160312T000000",77,3193,3269,3
"20170611T000000",504,65159,65662,3
"20151231T000000",11,649,659,3
"20161227T000000",121,32911,33031,3
"20170923T000000",307,94160,94466,3
"20170903T000000",277,87892,88168,3
"20170129T000000",144,38281,38424,3
"20170912T000000",293,90662,90954,3
"20160409T000000",23,4648,4670,3
"20161116T000000",210,26732,26941,3
"20171102T000000",561,107350,107910,3
"20161218T000000",101,31353,31453,3
"20170107T000000",301,34643,34943,3
"20171205T000000",256,118005,118260,3
"20160816T000000",171,15003,15173,3
"20171223T000000",329,124358,124686,3
"20160413T000000",75,4867,4941,3
"20160206T000000",31,1673,1703,3
"20160920T000000",139,18813,18951,3
"20161010T000000",74,21511,21584,3
"20160225T000000",15,2390,2404,3
"20151105T000000",1,81,81,3
"20161019T000000",76,22792,22867,3
"20171108T000000",153,109305,109457,3
"20170414T000000",196,52922,53117,3
"20160315T000000",71,3377,3447,3
"20170108T000000",77,34944,35020,3
"20171114T000000",367,110854,111220,3
"20151119T000000",5,204,208,3
"20161210T000000",67,30170,30236,3
"20151106T000000",2,82,83,3
"20160811T000000",72,14494,14565,3
"20160107T000000",22,810,831,3
"20160824T000000",149,15901,16049,3
"20151031T000000",2,57,58,3
"20160508T000000",64,6477,6540,3
"20160302T000000",37,2671,2707,3
"20170723T000000",308,76557,76864,3
"20170305T000000",189,44750,44938,3
"20160812T000000",102,14566,14667,3
"20170925T000000",314,94689,95002,3
"20170529T000000",231,62026,62256,3
"20160709T000000",124,11256,11379,3
"20170201T000000",313,38699,39011,3
"20170304T000000",293,44457,44749,3
"20170317T000000",345,47114,47458,3
"20170315T000000",300,46671,46970,3
"20170802T000000",372,78982,79353,3
"20171208T000000",368,118885,119252,3
"20160827T000000",90,16175,16264,3
"20160204T000000",32,1600,1631,3
"20170918T000000",160,92619,92778,3
"20151121T000000",3,214,216,3
"20161225T000000",153,32559,32711,3
"20160424T000000",55,5531,5585,3
"20170808T000000",364,80636,80999,3
"20160331T000000",31,4074,4104,3
"20160722T000000",72,12413,12484,3
"20170619T000000",360,67303,67662,3
"20161101T000000",166,24650,24815,3
"20171226T000000",607,125324,125930,3
"20170113T000000",179,35552,35730,3
"20171112T000000",236,110266,110501,3
"20170209T000000",200,40015,40214,3
"20160301T000000",62,2609,2670,3
"20151107T000000",3,84,86,3
"20170125T000000",67,37564,37630,3
"20170308T000000",190,45348,45537,3
"20150804T000000",1,26,26,3
"20170822T000000",212,84613,84824,3
"20170110T000000",36,35332,35367,3
"20160926T000000",157,19777,19933,3
"20170106T000000",148,34495,34642,3
"20170105T000000",164,34331,34494,3
"20160505T000000",70,6286,6355,3
"20160428T000000",58,5851,5908,3
"20160509T000000",122,6541,6662,3
"20160607T000000",71,8669,8739,3
"20170809T000000",196,81000,81195,3
"20160923T000000",119,19296,19414,3
"20160522T000000",57,7508,7564,3
"20160613T000000",67,9120,9186,3
"20160426T000000",38,5685,5722,3
"20170208T000000",80,39935,40014,3
"20171125T000000",465,114630,115094,3
"20160930T000000",115,20392,20506,3
"20150926T000000",1,46,46,3
"20161011T000000",161,21585,21745,3
"20160922T000000",214,19082,19295,3
"20151124T000000",8,233,240,3
"20160817T000000",74,15174,15247,3
"20160810T000000",123,14371,14493,3
"20161008T000000",124,21205,21328,3
"20160815T000000",126,14877,15002,3
"20160418T000000",73,5184,5256,3
"20160126T000000",42,1331,1372,3
"20170603T000000",257,63175,63431,3
"20160405T000000",33,4408,4440,3
"20170713T000000",243,73731,73973,3
"20161221T000000",164,31787,31950,3
"20160907T000000",75,17327,17401,3
"20160707T000000",101,11096,11196,3
"20170722T000000",255,76302,76556,3
"20150903T000000",2,32,33,3
"20160720T000000",120,12228,12347,3
"20170621T000000",215,67870,68084,3
"20160203T000000",48,1552,1599,3
"20160703T000000",119,10732,10850,3
"20160524T000000",123,7614,7736,3
"20161230T000000",176,33293,33468,3
"20171123T000000",478,113938,114415,3
"20170131T000000",59,38640,38698,3
"20171213T000000",265,120698,120962,3
"20160603T000000",86,8302,8387,3
"20171018T000000",426,102151,102576,3
"20151227T000000",11,585,595,3
"20170331T000000",157,50039,50195,3
"20170313T000000",296,46240,46535,3
"20171109T000000",188,109458,109645,3
"20170919T000000",482,92779,93260,3
"20170622T000000",169,68085,68253,3
"20160729T000000",96,13089,13184,3
"20170503T000000",104,56632,56735,3
"20170928T000000",265,95634,95898,3
"20161206T000000",111,29587,29697,3
"20160308T000000",56,2987,3042,3
"20171107T000000",103,109202,109304,3
"20160116T000000",11,1056,1066,3
"20160525T000000",11,7737,7747,3
"20170921T000000",379,93567,93945,3
"20170312T000000",75,46165,46239,3
"20160820T000000",153,15436,15588,3
"20170508T000000",253,57558,57810,3
"20160504T000000",33,6253,6285,3
"20161231T000000",130,33469,33598,3
"20170314T000000",135,46536,46670,3
"20170504T000000",274,56736,57009,3
"20160628T000000",46,10363,10408,3
"20170930T000000",265,96111,96375,3
"20160819T000000",68,15368,15435,3
"20171204T000000",284,117721,118004,3
"20151221T000000",21,491,511,3
"20150628T000000",1,19,19,3
"20170829T000000",298,86501,86798,3
"20170922T000000",214,93946,94159,3
"20170911T000000",410,90252,90661,3
"20160124T000000",43,1274,1316,3
"20171105T000000",373,108644,109016,3
"20151207T000000",3,354,356,3
"20171017T000000",230,101921,102150,3
"20171224T000000",450,124687,125136,3
"20170328T000000",235,49425,49659,3
"20160902T000000",90,16764,16853,3
"20161125T000000",59,28133,28191,3
"20170423T000000",99,54646,54744,3
"20151214T000000",3,419,421,3
"20150606T000000",2,15,16,3
"20171019T000000",354,102577,102930,3
"20170522T000000",199,60502,60700,3
"20170404T000000",106,50836,50941,3
"20151118T000000",13,191,203,3
"20161124T000000",251,27882,28132,3
"20160129T000000",24,1417,1440,3
"20160201T000000",39,1492,1530,3
"20160724T000000",100,12570,12669,3
"20160102T000000",10,668,677,3
"20171022T000000",296,103579,103874,3
"20160624T000000",47,10175,10221,3
"20170225T000000",149,43093,43241,3
"20170306T000000",154,44939,45092,3
"20161215T000000",157,30879,31035,3
"20160606T000000",96,8573,8668,3
"20160718T000000",77,12094,12170,3
"20160408T000000",74,4574,4647,3
"20161209T000000",191,29979,30169,3
"20160830T000000",98,16469,16566,3
"20161021T000000",134,23072,23205,3
"20170608T000000",161,64484,64644,3
"20170704T000000",430,71088,71517,3
"20161127T000000",87,28359,28445,3
"20170413T000000",185,52737,52921,3
"20170109T000000",311,35021,35331,3
"20151012T000000",2,51,52,3
"20160330T000000",43,4031,4073,3
"20170908T000000",220,89521,89740,3
"20160629T000000",97,10409,10505,3
"20161016T000000",153,22348,22500,3
"20160215T000000",36,1950,1985,3
"20151211T000000",16,387,402,3
"20160311T000000",25,3168,3192,3
"20171012T000000",647,99819,100465,3
"20170425T000000",139,54891,55029,3
"20170512T000000",163,58497,58659,3
"20170322T000000",171,48219,48389,3
"20151218T000000",13,458,470,3
"20151113T000000",11,136,146,3
"20151202T000000",18,280,297,3
"20151117T000000",11,180,190,3
"20160128T000000",34,1383,1416,3
"20160108T000000",7,832,838,3
"20160205T000000",41,1632,1672,3
"20170812T000000",286,81756,82041,3
"20160701T000000",74,10583,10656,3
"20161012T000000",94,21746,21839,3
"20161110T000000",209,25840,26048,3
"20160911T000000",34,17778,17811,3
"20171128T000000",305,115759,116063,3
"20170127T000000",211,37878,38088,3
"20170421T000000",74,54467,54540,3
"20160328T000000",35,3942,3976,3
"20170801T000000",116,78866,78981,3
"20151220T000000",8,483,490,3
"20160730T000000",135,13185,13319,3
"20160501T000000",111,6055,6165,3
"20170318T000000",111,47459,47569,3
"20160303T000000",71,2708,2778,3
"20161020T000000",204,22868,23071,3
"20170101T000000",220,33599,33818,3
"20160908T000000",94,17402,17495,3
"20171104T000000",540,108104,108643,3
"20161129T000000",156,28588,28743,3
"20170513T000000",194,58660,58853,3
"20171203T000000",446,117275,117720,3
"20160519T000000",42,7332,7373,3
"20161027T000000",76,23882,23957,3
"20170804T000000",460,79503,79962,3
"20161001T000000",160,20507,20666,3
"20160630T000000",77,10506,10582,3
"20160416T000000",69,5059,5127,3
"20160619T000000",96,9667,9762,3
"20160728T000000",138,12951,13088,3
"20160513T000000",52,6905,6956,3
"20170302T000000",329,44002,44330,3
"20151205T000000",11,320,330,3
"20160927T000000",177,19934,20110,3
"20160228T000000",61,2528,2588,3
"20160608T000000",84,8740,8823,3
"20160903T000000",95,16854,16948,3
"20150528T000000",7,8,14,3
"20150910T000000",3,40,42,3
"20171011T000000",180,99639,99818,3
"20161207T000000",136,29698,29833,3
"20170411T000000",285,52173,52457,3
"20160507T000000",69,6408,6476,3
"20160813T000000",87,14668,14754,3
"20160626T000000",58,10254,10311,3
"20160214T000000",35,1915,1949,3
"20170926T000000",374,95003,95376,3
"20160714T000000",76,11747,11822,3
"20170311T000000",272,45893,46164,3
"20170715T000000",185,74281,74465,3
"20160915T000000",125,18169,18293,3
"20160912T000000",125,17812,17936,3
"20150511T000000",2,0,1,3
"20151130T000000",8,269,276,3
"20171127T000000",334,115425,115758,3
"20170202T000000",83,39012,39094,3
"20170409T000000",288,51801,52088,3
"20170620T000000",207,67663,67869,3
"20161107T000000",137,25440,25576,3
"20170403T000000",268,50568,50835,3
"20161025T000000",71,23649,23719,3
"20170118T000000",185,36337,36521,3
"20160217T000000",20,2024,2043,3
"20170625T000000",280,68610,68889,3
"20160226T000000",69,2405,2473,3
"20160326T000000",47,3835,3881,3
"20171215T000000",282,121377,121658,3
"20160122T000000",25,1229,1253,3
"20160322T000000",74,3612,3685,3
"20170604T000000",213,63432,63644,3
"20161013T000000",146,21840,21985,3
"20170216T000000",265,41269,41533,3
"20160425T000000",99,5586,5684,3
"20160523T000000",49,7565,7613,3
"20151109T000000",17,96,112,3
"20171118T000000",157,112332,112488,3
"20170417T000000",241,53567,53807,3
"20171015T000000",300,101252,101551,3
"20160229T000000",20,2589,2608,3
"20151215T000000",9,422,430,3
"20160411T000000",21,4771,4791,3
"20170613T000000",393,65783,66175,3
"20170321T000000",182,48037,48218,3
"20170811T000000",301,81455,81755,3
"20161130T000000",165,28744,28908,3
"20171122T000000",335,113603,113937,3
"20170827T000000",294,85981,86274,3
"20170914T000000",262,91329,91590,3
"20160123T000000",20,1254,1273,3
"20150824T000000",2,28,29,3
"20151206T000000",23,331,353,3
"20150616T000000",2,17,18,3
"20160809T000000",122,14249,14370,3
"20160120T000000",41,1163,1203,3
"20171010T000000",525,99114,99638,3
"20161216T000000",147,31036,31182,3
"20160821T000000",107,15589,15695,3
"20160823T000000",94,15807,15900,3
"20160622T000000",113,9970,10082,3
"20160327T000000",60,3882,3941,3
"20171228T000000",244,126454,126697,3
"20160423T000000",63,5468,5530,3
"20160412T000000",75,4792,4866,3
"20160511T000000",95,6726,6820,3
"20160917T000000",51,18471,18521,3
"20171103T000000",193,107911,108103,3
"20151203T000000",17,298,314,3
"20170706T000000",574,71639,72212,3
"20161117T000000",88,26942,27029,3
"20170615T000000",300,66375,66674,3
"20170705T000000",121,71518,71638,3
"20170718T000000",331,74997,75327,3
"20160518T000000",112,7220,7331,3
"20160404T000000",98,4310,4407,3
"20161214T000000",126,30753,30878,3
"20170205T000000",184,39458,39641,3
"20150709T000000",2,21,22,3
"20160807T000000",134,14039,14172,3
"20170515T000000",230,59010,59239,3
"20170307T000000",255,45093,45347,3
"20171225T000000",187,125137,125323,3
"20170429T000000",171,55660,55830,3
"20170626T000000",283,68890,69172,3
"20161023T000000",117,23350,23466,3
"20171005T000000",270,97447,97716,3
"20160510T000000",63,6663,6725,3
"20170227T000000",144,43452,43595,3
"20160610T000000",100,8894,8993,3
"20170915T000000",316,91591,91906,3
"20171201T000000",324,116718,117041,3
"20161015T000000",229,22119,22347,3
"20170217T000000",113,41534,41646,3
"20161121T000000",98,27470,27567,3
"20170206T000000",166,39642,39807,3
"20160115T000000",48,1008,1055,3
"20170527T000000",288,61499,61786,3
"20160623T000000",92,10083,10174,3
"20160527T000000",42,7840,7881,3
"20170327T000000",219,49206,49424,3
"20170711T000000",126,73205,73330,3
"20170207T000000",127,39808,39934,3
"20170426T000000",253,55030,55282,3
"20161229T000000",126,33167,33292,3
"20170528T000000",239,61787,62025,3
"20151229T000000",7,612,618,3
"20160121T000000",25,1204,1228,3
"20171007T000000",299,98118,98416,3
"20160112T000000",10,955,964,3
"20160414T000000",62,4942,5003,3
"20170111T000000",151,35368,35518,3
"20171115T000000",347,111221,111567,3
"20150718T000000",2,23,24,3
"20170406T000000",179,51222,51400,3
"20160625T000000",32,10222,10253,3
"20170211T000000",146,40450,40595,3
"20170614T000000",199,66176,66374,3
"20151129T000000",7,262,268,3
"20151116T000000",14,166,179,3
"20171120T000000",262,113006,113267,3
"20170817T000000",404,83036,83439,3
"20161118T000000",179,27030,27208,3
"20161212T000000",148,30468,30615,3
"20160826T000000",89,16086,16174,3
"20170828T000000",226,86275,86500,3
"20170510T000000",262,57977,58238,3
"20170517T000000",160,59399,59558,3
"20161018T000000",116,22676,22791,3
"20170502T000000",336,56296,56631,3
"20170219T000000",190,41897,42086,3
"20171220T000000",497,123059,123555,3
"20170325T000000",231,48787,49017,3
"20160110T000000",5,899,903,3
"20160516T000000",67,7086,7152,3
"20170701T000000",249,70282,70530,3
"20160210T000000",25,1787,1811,3
"20160618T000000",172,9495,9666,3
"20170310T000000",156,45737,45892,3
"20160403T000000",40,4270,4309,3
"20170813T000000",250,82042,82291,3
"20171013T000000",280,100466,100745,3
"20170524T000000",158,60933,61090,3
"20161105T000000",161,25198,25358,3
"20171212T000000",451,120247,120697,3
"20150630T000000",1,20,20,3
"20160727T000000",41,12910,12950,3
"20171216T000000",548,121659,122206,3
"20170212T000000",229,40596,40824,3
"20160520T000000",71,7374,7444,3
"20160220T000000",44,2143,2186,3
"20160901T000000",126,16638,16763,3
"20151224T000000",18,549,566,3
"20170708T000000",217,72429,72645,3
"20170601T000000",147,62736,62882,3
"20160621T000000",111,9859,9969,3
"20161223T000000",229,32176,32404,3
"20171129T000000",366,116064,116429,3
"20160906T000000",160,17167,17326,3
"20160526T000000",92,7748,7839,3
"20170330T000000",233,49806,50038,3
"20160307T000000",39,2948,2986,3
"20170104T000000",190,34141,34330,3
"20171218T000000",488,122327,122814,3
"20170402T000000",170,50398,50567,3
"20151114T000000",15,147,161,3
"20160109T000000",60,839,898,3
"20160512T000000",84,6821,6904,3
"20171021T000000",348,103231,103578,3
"20161115T000000",173,26559,26731,3
"20150904T000000",6,34,39,3
"20171001T000000",191,96376,96566,3
"20161222T000000",225,31951,32175,3
"20160212T000000",37,1849,1885,3
"20170826T000000",147,85834,85980,3
"20160221T000000",28,2187,2214,3
"20160916T000000",177,18294,18470,3
"20170805T000000",222,79963,80184,3
"20161208T000000",145,29834,29978,3
"20171210T000000",552,119525,120076,3
"20160914T000000",154,18015,18168,3
"20170628T000000",249,69399,69647,3
"20170720T000000",267,75674,75940,3
"20170920T000000",306,93261,93566,3
"20170721T000000",361,75941,76301,3
"20160503T000000",69,6184,6252,3
"20160313T000000",48,3270,3317,3
"20170729T000000",282,78384,78665,3
"20170505T000000",139,57010,57148,3
"20171117T000000",500,111832,112331,3
"20161006T000000",100,20991,21090,3
"20160928T000000",142,20111,20252,3
"20160929T000000",139,20253,20391,3
"20171020T000000",300,102931,103230,3
"20170407T000000",246,51401,51646,3
"20160106T000000",31,779,809,3
"20171029T000000",355,105995,106349,3
"20160726T000000",176,12734,12909,3
"20160407T000000",56,4518,4573,3
"20160822T000000",111,15696,15806,3
"20170222T000000",254,42430,42683,3
"20170728T000000",175,78209,78383,3
"20160806T000000",81,13958,14038,3
"20161202T000000",193,29019,29211,3
"20171207T000000",243,118642,118884,3
"20161123T000000",153,27729,27881,3
"20170123T000000",125,37170,37294,3
"20160710T000000",46,11380,11425,3
"20160111T000000",51,904,954,3
"20151108T000000",9,87,95,3
"20170405T000000",280,50942,51221,3
"20170418T000000",195,53808,54002,3
"20160224T000000",58,2332,2389,3
"20170319T000000",285,47570,47854,3
"20170910T000000",142,90110,90251,3
"20171101T000000",153,107197,107349,3
"20151003T000000",2,49,50,3
"20170203T000000",236,39095,39330,3
"20170624T000000",125,68485,68609,3
"20170120T000000",204,36613,36816,3
"20170518T000000",188,59559,59746,3
"20170507T000000",181,57377,57557,3
"20160723T000000",85,12485,12569,3
"20160410T000000",100,4671,4770,3
"20151103T000000",11,60,70,3
"20160802T000000",47,13551,13597,3
"20160421T000000",40,5380,5419,3
"20171106T000000",185,109017,109201,3
"20151026T000000",1,55,55,3
"20171014T000000",506,100746,101251,3
"20161119T000000",70,27209,27278,3
"20151104T000000",10,71,80,3
"20160324T000000",56,3733,3788,3
"20170819T000000",497,83535,84031,3
"20161205T000000",117,29470,29586,3
"20160430T000000",56,5999,6054,3
"20170119T000000",91,36522,36612,3
"20160705T000000",99,10897,10995,3
"20160921T000000",130,18952,19081,3
"20160521T000000",63,7445,7507,3
"20151204T000000",5,315,319,3
"20161017T000000",175,22501,22675,3
"20170221T000000",135,42295,42429,3
"20160318T000000",22,3491,3512,3
"20170117T000000",164,36173,36336,3
"20170820T000000",193,84032,84224,3
"20170316T000000",143,46971,47113,3
"20170710T000000",369,72836,73204,3
"20170526T000000",113,61386,61498,3
"20170228T000000",233,43596,43828,3
"20151122T000000",8,217,224,3
"20170717T000000",253,74744,74996,3
"20171023T000000",371,103875,104245,3
"20161217T000000",170,31183,31352,3
"20171110T000000",285,109646,109930,3
"20170602T000000",292,62883,63174,3
"20160209T000000",37,1750,1786,3
"20160925T000000",240,19537,19776,3
"20160604T000000",83,8388,8470,3
"20170830T000000",249,86799,87047,3
"20171222T000000",390,123968,124357,3
"20160721T000000",65,12348,12412,3
"20171219T000000",244,122815,123058,3
"20160515T000000",43,7043,7085,3
"20161030T000000",142,24393,24534,3
"20170523T000000",232,60701,60932,3
"20160924T000000",122,19415,19536,3
"20160715T000000",102,11823,11924,3
"20171206T000000",381,118261,118641,3
"20161028T000000",221,23958,24178,3
"20170210T000000",235,40215,40449,3
"20151223T000000",24,525,548,3
"20150723T000000",1,25,25,3
"20171006T000000",401,97717,98117,3
"20160818T000000",120,15248,15367,3
"20170214T000000",181,40963,41143,3
"20171030T000000",324,106350,106673,3
"20170531T000000",305,62431,62735,3
"20170810T000000",259,81196,81454,3
"20160808T000000",76,14173,14248,3
"20170906T000000",328,88788,89115,3
"20170714T000000",307,73974,74280,3
"20170525T000000",295,61091,61385,3
"20170909T000000",369,89741,90109,3
"20170516T000000",159,59240,59398,3
"20161201T000000",110,28909,29018,3
"20160219T000000",35,2108,2142,3
"20170401T000000",202,50196,50397,3
"20170627T000000",226,69173,69398,3
"20160319T000000",8,3513,3520,3
"20160825T000000",36,16050,16085,3
"20170902T000000",272,87620,87891,3
"20150819T000000",1,27,27,3
"20160131T000000",25,1467,1491,3
"20171004T000000",409,97038,97446,3
"20161029T000000",214,24179,24392,3
"20160829T000000",81,16388,16468,3
"20160208T000000",25,1725,1749,3
"20170716T000000",278,74466,74743,3
"20161128T000000",142,28446,28587,3
"20170730T000000",104,78666,78769,3
"20151015T000000",1,53,53,3
"20151115T000000",4,162,165,3
"20170329T000000",146,49660,49805,3
"20170709T000000",190,72646,72835,3
"20171211T000000",170,120077,120246,3
"20160704T000000",46,10851,10896,3
"20160306T000000",63,2885,2947,3
"20161224T000000",154,32405,32558,3
"20160615T000000",63,9260,9322,3
"20160803T000000",134,13598,13731,3
"20151128T000000",6,256,261,3
"20160609T000000",70,8824,8893,3
"20160602T000000",60,8242,8301,3
"20160104T000000",3,721,723,3
"20151212T000000",4,403,406,3
"20151219T000000",12,471,482,3
"20171008T000000",496,98417,98912,3
"20160712T000000",79,11556,11634,3
"20170825T000000",469,85365,85833,3
"20170901T000000",208,87412,87619,3
"20171221T000000",412,123556,123967,3
"20160117T000000",38,1067,1104,3
"20160502T000000",18,6166,6183,3
"20160429T000000",90,5909,5998,3
"20160417T000000",56,5128,5183,3
"20170226T000000",210,43242,43451,3
"20160114T000000",18,990,1007,3
"20171130T000000",288,116430,116717,3
"20170707T000000",216,72213,72428,3
"20170115T000000",203,35866,36068,3
"20170213T000000",138,40825,40962,3
"20151216T000000",9,431,439,3
"20171028T000000",272,105723,105994,3
"20161111T000000",103,26049,26151,3
"20171116T000000",264,111568,111831,3
"20170719T000000",346,75328,75673,3
"20160919T000000",140,18673,18812,3
"20171214T000000",414,120963,121376,3
"20170224T000000",322,42771,43092,3
"20170824T000000",245,85120,85364,3
"20160314T000000",59,3318,3376,3
"20160213T000000",29,1886,1914,3
"20160402T000000",94,4176,4269,3
"20170913T000000",374,90955,91328,3
"20161122T000000",161,27568,27728,3
"20171202T000000",233,117042,117274,3
"20170223T000000",87,42684,42770,3
"20160731T000000",82,13320,13401,3
"20160909T000000",91,17496,17586,3
"20170309T000000",199,45538,45736,3
"20160118T000000",40,1105,1144,3
"20171113T000000",352,110502,110853,3
"20160719T000000",57,12171,12227,3
"20151226T000000",15,570,584,3
"20171121T000000",335,113268,113602,3
"20161219T000000",218,31454,31671,3
"20151230T000000",30,619,648,3
"20160706T000000",100,10996,11095,3
"20151222T000000",13,512,524,3
"20160127T000000",10,1373,1382,3
"20160717T000000",113,11981,12093,3
"20170612T000000",120,65663,65782,3
"20170323T000000",232,48390,48621,3
"20170607T000000",303,64181,64483,3
"20170823T000000",295,84825,85119,3
"20161031T000000",115,24535,24649,3
"20171016T000000",369,101552,101920,3
"20151225T000000",3,567,569,3
"20160101T000000",8,660,667,3
"20161007T000000",114,21091,21204,3
"20170430T000000",241,55831,56071,3
"20171027T000000",524,105199,105722,3
"20170218T000000",250,41647,41896,3
"20160119T000000",18,1145,1162,3
"20160605T000000",102,8471,8572,3
"20161228T000000",135,33032,33166,3
"20160904T000000",132,16949,17080,3
"20151213T000000",12,407,418,3
"20170605T000000",244,63645,63888,3
